edad_persona_en_situacion_de_violencia,genero_de_la_persona_agresora,genero_persona_en_situacion_de_violencia,modalidad_de_violencia_laboral,modalidad_de_violencia_institucional,modalidad_de_violencia_mediatica,modalidad_de_violencia_obstetrica,modalidad_de_violencia_otras,modalidad_violencia_contra_libertad_reproductiva,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_domestica,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_simbolica,Ubicación,vinculo_con_la_persona_agresora
35,Varon,Mujer,,,,,1,,No informado,,,,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
35,Varon,Mujer,,1,,,,,Argentina,,1,,1,,1,"Buenos Aires, Argentina",Otro
35,Varon,Mujer,,1,,,,,Argentina,1,,,1,,,"Catamarca, Argentina",Pareja
35,Varon,Mujer,,1,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
35,Varon,Mujer,,1,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Ex pareja
35,Varon,Mujer,,1,,,,,Argentina,1,1,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
35,Varon,Mujer,,1,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Pareja
35,Varon,Mujer,,1,,,,,No informado,1,,1,1,,1,"Buenos Aires, Argentina",Pareja
35,Varon,Mujer,,1,,,,,No informado,1,1,,1,,,"Buenos Aires, Argentina",Ex pareja
35,Varon,Mujer,1,,,,,,Argentina,,,,,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
35,Varon,Mujer,1,,,,,,Argentina,,,,1,,1,"Mendoza, Argentina",Superior jerarquico
35,Varon,Mujer,1,,,,,,Argentina,,,,1,,1,"Santa Fe, Argentina",Superior jerarquico
35,Varon,Mujer,1,,,,,,No informado,,,,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
35,Varon,Mujer,1,,,,,,No informado,,,,1,1,,"Tucumán, Argentina",Superior jerarquico
35,Varon,Sin Informar,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Pareja
35,Varon,Sin Informar,,,,,,,No informado,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
35,Varon,Sin Informar,,,,,,,No informado,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
35,Varon,Sin Informar,,,,,,,Otra,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
35,Varon,Sin Informar,,,,,,,Otra,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
35,Varon,Transgenero,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Otro familiar
36,Mujer,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Mujer,Mujer,,,,,,,Boliviana,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Mujer,Mujer,,,,,,,No informado,,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,Mujer,Mujer,,,,,1,,Argentina,,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
36,No informado,Mujer,,,,,,,Argentina,,,1,1,,,"Río Negro, Argentina",Otro
36,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Córdoba, Argentina",Pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"San Juan, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Mendoza, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,1,,"Mendoza, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,,1,1,1,,"Salta, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Salta, Argentina",Pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,,,,"Buenos Aires, Argentina",Pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Formosa, Argentina",Pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Mendoza, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Tucumán, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Buenos Aires, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Salta, Argentina",Otro
36,No informado,Mujer,,,,,,,Brasileña,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,No informado,,,,,,,"Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,No informado,,,,,,1,"Buenos Aires, Argentina",Otro
36,No informado,Mujer,,,,,,,No informado,,,,1,,,"Catamarca, Argentina",Otro
36,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Sin Informar, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Jujuy, Argentina",Pareja
36,No informado,Mujer,,,,,,,No informado,1,1,,1,,,"Tucumán, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,No informado,1,1,1,1,,,"Buenos Aires, Argentina",Sin Informar
36,No informado,Mujer,,,,,,,No informado,1,1,1,1,,1,"Mendoza, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Paraguaya,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,No informado,Mujer,,,,,,,Paraguaya,1,1,,1,,,"Buenos Aires, Argentina",Pareja
36,No informado,Mujer,,,,,,,Peruana,1,1,1,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,No informado,Sin Informar,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,No informado,Sin Informar,,,,,,,No informado,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,No informado,Sin Informar,,,,,,,No informado,1,,1,,,,"Sin Informar, Argentina",Sin Informar
36,No informado,Sin Informar,,,,,,,Otra,1,1,1,1,1,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,Otro,Mujer,,,,,,,Paraguaya,,,1,1,,1,"Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,,,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,,,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,,,1,1,,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,,,,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,,,1,1,1,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,,,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,,1,1,,,"Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,,,1,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,,,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,,1,1,,1,"Jujuy, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,,1,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,1,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,1,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,,1,1,1,,1,"Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,,1,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,,1,,"Santa Fe, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,1,,,,1,,"Santiago Del Estero, Argentina",Padre o tutor
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Chubut, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Córdoba, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Jujuy, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Jujuy, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Misiones, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Neuquén, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"San Luis, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Santa Fe, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Tucumán, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,,"Tucumán, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Catamarca, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,Varon,Mujer,,,,,,,Argentina,1,,,1,1,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,1,,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,1,,,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,,1,1,,"Córdoba, Argentina",Padre o tutor
36,Varon,Mujer,,,,,,,Argentina,1,,1,,,,"Córdoba, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Chaco, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Chaco, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Córdoba, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Entre Ríos, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Jujuy, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Jujuy, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"La Rioja, Argentina, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Mendoza, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Río Negro, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Río Negro, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Salta, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"San Juan, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Santa Fe, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Tucumán, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,,"Tucumán, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Córdoba, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"La Rioja, Argentina, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Río Negro, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Salta, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,,1,"Santa Fe, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Córdoba, Argentina",Padre o tutor
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,,"Tucumán, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,,1,1,1,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Chaco, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Mendoza, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Misiones, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Neuquén, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Salta, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Santiago Del Estero, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,,"Tucumán, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,,1,"Misiones, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,1,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,,1,1,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,,1,,"San Juan, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Catamarca, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Córdoba, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Córdoba, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Entre Ríos, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Jujuy, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Mendoza, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Misiones, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Misiones, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Neuquén, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Río Negro, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Salta, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"San Juan, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"San Luis, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Santa Fe, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Santiago Del Estero, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Tucumán, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,,"Tucumán, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Córdoba, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Mendoza, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Río Negro, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Tucumán, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Entre Ríos, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"San Juan, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Santa Fe, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Santiago Del Estero, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Buenos Aires, Argentina",Otro familiar
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Chubut, Argentina",Pareja
36,Varon,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Santa Fe, Argentina",Pareja
36,Varon,Mujer,,,,,,,Boliviana,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Boliviana,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Boliviana,1,,1,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Boliviana,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Boliviana,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,Boliviana,1,1,1,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Brasileña,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
36,Varon,Mujer,,,,,,,Colombiana,1,,1,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Colombiana,1,1,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,Israelí,1,1,,1,,,"Mendoza, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,,,,,1,,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,No informado,,,,,1,1,"Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,No informado,,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,No informado,,,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,No informado,,,1,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,,,1,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,,1,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,,1,1,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,,1,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,,,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,1,,,,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,1,,,,,1,"Sin Informar, Argentina",Sin Informar
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,,"Salta, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Pareja
36,Varon,Mujer,,,,,,,No informado,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
36,Varon,Mujer,,,,,,,No informado,1,,1,,1,1,"Buenos Aires, Argentina",Otro
